pr_id,repo,author_type,agent,language,change_type,commits,additions,deletions,files_changed,description_length,lexical_similarity,semantic_similarity,review_time_hours,nn_layers_modified,test_coverage_delta,net_lines
21,xgboost-fraud-pipeline,Human,Human,Python,data_pipeline,9,489,18,7,74,0.3438,0.1797,100.06,0,3.54,471
22,fraud-detector-nn,AI,GitHub Copilot,SQL,hyperparameter_tuning,3,13,11,5,133,0.5824,0.9007,17.76,2,0.37,2
23,deepfraud-pytorch,AI,Devin,R,bug_fix,1,40,4,4,147,0.773,0.7528,11.11,1,3.26,36
24,autoencoder-fraud,AI,OpenAI Codex,Jupyter Notebook,test_suite,3,227,44,2,146,0.7086,0.5143,9.32,3,2.11,183
25,fraud-detector-nn,AI,Claude Code,R,documentation,4,20,84,4,137,0.913,0.7972,14.81,2,-0.56,-64
26,autoencoder-fraud,Human,Human,SQL,bug_fix,8,167,200,4,82,0.5745,0.097,2.62,1,4.82,-33
27,antifraud-ensemble,AI,Devin,Python,test_suite,2,72,6,1,137,0.7152,0.5942,15.49,2,-0.59,66
28,autoencoder-fraud,AI,Claude Code,Python,hyperparameter_tuning,1,100,34,2,122,0.4616,0.8741,7.72,6,3.06,66
29,deepfraud-pytorch,Human,Human,YAML,test_suite,6,1268,298,7,95,0.2734,0.6459,65.44,2,3.28,970
30,deepfraud-pytorch,AI,GitHub Copilot,Jupyter Notebook,bug_fix,1,112,6,3,155,0.7459,0.7047,4.2,3,2.79,106
31,fraud-detector-nn,Human,Human,YAML,hyperparameter_tuning,6,463,58,5,71,0.4065,0.6939,85.98,2,-5.35,405
32,xgboost-fraud-pipeline,AI,GitHub Copilot,Jupyter Notebook,model_architecture,1,5,31,7,132,0.7701,0.8171,8.42,3,6.2,-26
33,credit-card-fraud-ml,AI,GitHub Copilot,Python,bug_fix,1,32,24,4,139,0.6477,0.765,3.49,3,-0.3,8
34,xgboost-fraud-pipeline,Human,Human,Shell,feature_engineering,4,1039,31,3,82,0.363,0.522,15.05,3,6.84,1008
35,antifraud-ensemble,Human,Human,YAML,refactor,7,155,113,1,89,0.3758,0.4604,7.51,2,-1.6,42
36,xgboost-fraud-pipeline,Human,Human,Python,data_pipeline,8,203,28,6,76,0.6465,0.4267,14.2,0,-0.87,175
37,credit-card-fraud-ml,AI,OpenAI Codex,Jupyter Notebook,data_pipeline,5,45,17,3,135,0.5413,0.6332,19.9,3,3.21,28
38,transaction-anomaly-detection,AI,GitHub Copilot,Python,documentation,1,381,21,1,150,0.9148,0.5992,6.42,4,0.24,360
39,xgboost-fraud-pipeline,Human,Human,Python,model_architecture,5,453,42,6,92,0.6109,0.3806,50.22,2,0.0,411
40,xgboost-fraud-pipeline,AI,OpenAI Codex,Python,feature_engineering,2,5,74,3,129,0.7843,0.659,19.6,5,9.63,-69
41,antifraud-ensemble,AI,GitHub Copilot,Python,model_architecture,1,68,35,3,136,0.686,0.753,8.08,0,4.03,33
42,antifraud-ensemble,AI,Claude Code,Python,test_suite,3,210,49,3,140,0.5054,0.554,8.03,4,0.8,161
43,fraud-detector-nn,AI,GitHub Copilot,Python,hyperparameter_tuning,3,81,27,3,122,0.7239,0.8704,89.57,1,5.67,54
44,fraud-detector-nn,Human,Human,Jupyter Notebook,hyperparameter_tuning,4,158,46,3,82,0.3108,0.4234,2.39,2,-1.45,112
45,autoencoder-fraud,AI,Devin,Jupyter Notebook,feature_engineering,3,77,72,3,121,0.5983,0.5709,3.69,0,2.31,5
46,antifraud-ensemble,Human,Human,Jupyter Notebook,feature_engineering,8,128,229,8,80,0.3963,0.8488,4.02,3,5.84,-101
47,antifraud-ensemble,AI,OpenAI Codex,YAML,model_architecture,3,24,85,4,135,0.7338,0.5075,50.43,5,1.63,-61
48,deepfraud-pytorch,AI,Claude Code,SQL,data_pipeline,1,62,25,3,138,0.8725,0.9163,6.37,4,1.5,37
49,credit-card-fraud-ml,AI,Claude Code,Jupyter Notebook,data_pipeline,1,121,80,1,148,0.7488,0.8765,13.52,2,-0.82,41
50,xgboost-fraud-pipeline,AI,Devin,Python,model_architecture,3,78,45,1,143,0.7179,0.7947,7.37,3,0.17,33
51,autoencoder-fraud,Human,Human,Python,feature_engineering,9,478,119,3,85,0.7475,0.4783,154.96,1,2.23,359
52,fraud-detector-nn,Human,Human,Python,model_architecture,9,6,12,6,76,0.1619,0.2382,7.02,3,2.33,-6
53,autoencoder-fraud,Human,Human,Jupyter Notebook,documentation,5,409,701,4,86,0.3971,0.5118,7.63,1,2.32,-292
54,deepfraud-pytorch,Human,Human,R,data_pipeline,3,216,259,11,82,0.3763,0.5372,178.5,1,2.44,-43
55,xgboost-fraud-pipeline,Human,Human,YAML,bug_fix,5,76,64,5,69,0.552,0.2977,38.05,2,0.04,12
56,xgboost-fraud-pipeline,Human,Human,Python,refactor,5,49,32,3,72,0.2862,0.7235,7.26,2,-3.78,17
57,transaction-anomaly-detection,AI,GitHub Copilot,Jupyter Notebook,hyperparameter_tuning,5,12,84,4,114,0.4738,0.4444,14.37,7,5.96,-72
58,antifraud-ensemble,AI,Devin,Jupyter Notebook,test_suite,2,382,18,2,121,0.6094,0.9698,86.13,4,0.83,364
59,xgboost-fraud-pipeline,AI,GitHub Copilot,Jupyter Notebook,data_pipeline,1,48,42,3,142,0.661,0.4898,17.82,1,0.27,6
60,autoencoder-fraud,AI,OpenAI Codex,SQL,data_pipeline,1,54,52,2,150,0.7479,0.8375,12.54,3,-1.43,2
61,fraud-detector-nn,AI,OpenAI Codex,Python,data_pipeline,2,148,20,1,134,0.4501,0.7922,3.44,2,1.47,128
62,antifraud-ensemble,AI,Devin,Jupyter Notebook,data_pipeline,3,147,51,3,137,0.5657,0.7701,20.4,3,4.68,96
63,deepfraud-pytorch,Human,Human,Python,bug_fix,7,33,30,7,87,0.0727,0.144,22.24,2,8.54,3
64,antifraud-ensemble,AI,OpenAI Codex,Python,data_pipeline,2,255,52,1,134,0.6034,0.865,14.38,1,3.42,203
65,antifraud-ensemble,AI,Devin,Shell,data_pipeline,1,57,10,1,129,0.8229,0.5457,12.15,2,2.84,47
66,deepfraud-pytorch,AI,Claude Code,Python,model_architecture,1,259,91,1,130,0.4879,0.7159,122.44,3,0.77,168
67,credit-card-fraud-ml,AI,GitHub Copilot,YAML,test_suite,2,31,41,3,154,0.7754,0.6797,22.81,3,7.82,-10
68,deepfraud-pytorch,Human,Human,SQL,bug_fix,4,249,44,3,91,0.4626,0.7779,62.1,1,-2.59,205
69,antifraud-ensemble,AI,GitHub Copilot,Shell,data_pipeline,3,49,24,2,155,0.9016,0.4757,11.67,5,1.79,25
70,credit-card-fraud-ml,Human,Human,Python,documentation,6,78,10,8,84,0.4099,0.3185,5.06,4,-1.92,68
71,deepfraud-pytorch,Human,Human,Jupyter Notebook,documentation,2,10,124,3,62,0.5159,0.5278,84.86,3,-2.9,-114
72,deepfraud-pytorch,AI,Devin,Jupyter Notebook,model_architecture,1,154,83,5,132,0.9391,0.722,9.85,0,2.2,71
73,xgboost-fraud-pipeline,AI,GitHub Copilot,Jupyter Notebook,hyperparameter_tuning,4,119,67,3,131,0.6156,0.7237,10.56,4,-0.47,52
74,xgboost-fraud-pipeline,Human,Human,Python,data_pipeline,6,153,11,9,90,0.1253,0.2584,43.42,2,-1.78,142
75,fraud-detector-nn,Human,Human,YAML,model_architecture,5,199,7,12,77,0.2187,0.5292,34.31,0,-5.1,192
76,deepfraud-pytorch,Human,Human,Python,feature_engineering,3,32,3,11,61,0.0778,0.5796,8.82,1,-0.13,29
77,antifraud-ensemble,Human,Human,Python,documentation,4,110,70,7,80,0.4847,0.3629,19.36,3,-1.14,40
78,fraud-detector-nn,AI,GitHub Copilot,Jupyter Notebook,model_architecture,2,11,49,4,143,0.8717,0.8006,25.08,7,2.7,-38
79,credit-card-fraud-ml,AI,OpenAI Codex,Python,hyperparameter_tuning,2,23,47,2,125,0.7961,0.6775,6.56,1,7.31,-24
80,fraud-detector-nn,AI,GitHub Copilot,Python,bug_fix,2,37,118,3,139,0.6614,0.9025,2.01,1,6.26,-81
81,transaction-anomaly-detection,Human,Human,Python,model_architecture,5,69,52,4,88,0.5211,0.3214,4.11,4,5.07,17
82,credit-card-fraud-ml,Human,Human,YAML,documentation,5,132,66,8,88,0.4634,0.6715,31.03,2,7.84,66
83,transaction-anomaly-detection,AI,OpenAI Codex,R,model_architecture,2,173,23,8,139,0.8255,0.5874,25.02,3,6.71,150
84,antifraud-ensemble,AI,GitHub Copilot,YAML,model_architecture,1,73,70,2,130,0.752,0.6521,6.12,4,-3.87,3
85,xgboost-fraud-pipeline,AI,OpenAI Codex,Python,data_pipeline,3,36,2,1,134,0.8396,0.709,17.48,3,4.05,34
86,credit-card-fraud-ml,AI,OpenAI Codex,Python,documentation,5,38,34,5,130,0.8546,0.7983,28.93,5,2.28,4
87,credit-card-fraud-ml,Human,Human,Jupyter Notebook,data_pipeline,6,151,515,11,81,0.5937,0.292,14.64,0,2.27,-364
88,fraud-detector-nn,Human,Human,Shell,model_architecture,5,59,494,6,87,0.4745,0.6307,94.67,0,-0.01,-435
89,transaction-anomaly-detection,Human,Human,Python,bug_fix,3,27,19,10,76,0.281,0.2935,4.5,2,5.86,8
90,transaction-anomaly-detection,AI,Claude Code,Python,hyperparameter_tuning,1,113,35,3,126,0.5245,0.6797,15.95,1,9.35,78
91,fraud-detector-nn,AI,GitHub Copilot,Python,model_architecture,1,15,97,5,119,0.5646,0.6612,43.88,0,1.79,-82
92,fraud-detector-nn,Human,Human,Python,model_architecture,9,73,24,6,69,0.5256,0.5168,9.73,0,4.7,49
93,xgboost-fraud-pipeline,Human,Human,Python,bug_fix,5,110,17,6,81,0.2388,0.3067,25.95,2,4.87,93
94,fraud-detector-nn,Human,Human,Python,documentation,3,10,35,11,84,0.5569,0.6438,119.73,2,-5.33,-25
95,fraud-detector-nn,Human,Human,Python,model_architecture,10,19,13,7,70,0.5588,0.607,7.66,2,1.28,6
96,xgboost-fraud-pipeline,AI,Claude Code,R,feature_engineering,1,29,12,5,133,0.6222,0.9358,6.0,5,3.91,17
97,xgboost-fraud-pipeline,AI,Claude Code,Python,model_architecture,3,23,387,6,129,0.6457,0.8114,11.28,5,0.28,-364
98,deepfraud-pytorch,AI,OpenAI Codex,YAML,refactor,3,46,27,4,137,0.617,0.6017,3.05,3,2.76,19
99,fraud-detector-nn,AI,GitHub Copilot,Python,documentation,1,65,66,1,146,0.8686,0.7726,8.34,3,-0.57,-1
100,fraud-detector-nn,AI,GitHub Copilot,Jupyter Notebook,data_pipeline,3,48,54,2,144,0.7573,0.967,4.68,3,5.75,-6
101,autoencoder-fraud,AI,GitHub Copilot,R,hyperparameter_tuning,1,301,13,3,131,0.6182,0.4894,24.51,1,4.65,288
102,fraud-detector-nn,Human,Human,Python,data_pipeline,2,38,192,7,75,0.6062,0.1409,52.73,0,-0.51,-154
103,xgboost-fraud-pipeline,AI,OpenAI Codex,Python,model_architecture,1,26,28,1,136,0.7579,0.7053,6.78,3,0.59,-2
104,deepfraud-pytorch,AI,Claude Code,YAML,model_architecture,4,84,4,4,136,0.7101,0.7611,14.01,2,-0.11,80
105,antifraud-ensemble,Human,Human,Python,bug_fix,4,92,61,5,66,0.1989,0.1816,18.06,2,9.5,31
106,antifraud-ensemble,AI,Devin,Shell,refactor,3,39,4,3,119,0.6071,0.6777,81.9,2,4.8,35
107,autoencoder-fraud,AI,OpenAI Codex,Python,bug_fix,2,99,27,7,135,0.296,0.919,24.31,1,-0.27,72
108,fraud-detector-nn,Human,Human,Python,refactor,7,184,280,7,76,0.2815,0.3722,36.85,1,11.77,-96
109,credit-card-fraud-ml,AI,Devin,R,refactor,3,32,46,1,132,0.5373,0.6647,15.07,2,1.05,-14
110,xgboost-fraud-pipeline,AI,GitHub Copilot,SQL,test_suite,3,18,3,3,145,0.8222,0.6726,1.49,4,3.59,15
111,deepfraud-pytorch,AI,Devin,Python,documentation,6,66,5,5,123,0.6887,0.4802,31.4,4,-5.03,61
112,fraud-detector-nn,AI,GitHub Copilot,YAML,data_pipeline,4,95,15,5,133,0.6434,0.7241,17.03,3,3.41,80
113,deepfraud-pytorch,Human,Human,Python,bug_fix,4,272,5,6,76,0.6662,0.4412,45.11,2,1.53,267
114,deepfraud-pytorch,Human,Human,Python,documentation,6,124,167,3,90,0.3128,0.2061,33.47,0,-2.62,-43
115,xgboost-fraud-pipeline,Human,Human,Python,feature_engineering,4,210,267,7,77,0.3336,0.3731,21.75,2,1.05,-57
116,autoencoder-fraud,Human,Human,Python,feature_engineering,4,62,113,7,75,0.5038,0.2275,23.5,4,1.85,-51
117,antifraud-ensemble,Human,Human,Python,test_suite,6,178,9,3,74,0.2965,0.6294,23.68,1,1.2,169
118,xgboost-fraud-pipeline,AI,Devin,Python,model_architecture,2,204,9,1,132,0.7872,0.9424,26.88,3,0.47,195
119,transaction-anomaly-detection,Human,Human,Jupyter Notebook,model_architecture,4,48,109,3,54,0.3473,0.3945,25.42,1,-1.85,-61
120,transaction-anomaly-detection,AI,Claude Code,Jupyter Notebook,hyperparameter_tuning,3,364,26,3,160,0.7367,0.7371,8.89,2,3.18,338
121,transaction-anomaly-detection,Human,Human,Jupyter Notebook,refactor,8,62,23,4,74,0.4659,0.8374,4.78,1,2.62,39
122,fraud-detector-nn,Human,Human,Python,model_architecture,7,130,19,4,84,0.3564,0.4488,200.0,0,5.69,111
123,transaction-anomaly-detection,AI,OpenAI Codex,Python,model_architecture,3,151,42,2,124,0.8465,0.8394,21.46,3,5.56,109
124,fraud-detector-nn,AI,GitHub Copilot,Jupyter Notebook,bug_fix,1,41,32,3,138,0.8752,0.805,4.1,2,-3.4,9
125,credit-card-fraud-ml,AI,Devin,Python,hyperparameter_tuning,3,97,21,5,134,0.5365,0.859,18.15,1,-5.08,76
126,xgboost-fraud-pipeline,AI,OpenAI Codex,Python,hyperparameter_tuning,1,8,15,5,140,0.614,0.5676,16.22,5,0.94,-7
127,antifraud-ensemble,Human,Human,Jupyter Notebook,bug_fix,6,6241,75,5,66,0.6696,0.5804,8.0,2,1.16,6166
128,credit-card-fraud-ml,Human,Human,Python,data_pipeline,7,45,258,7,75,0.2566,0.6422,19.52,1,-0.44,-213
129,fraud-detector-nn,AI,GitHub Copilot,Python,data_pipeline,2,90,20,1,144,0.6474,0.813,8.05,2,0.38,70
130,credit-card-fraud-ml,AI,Claude Code,YAML,hyperparameter_tuning,3,95,111,1,130,0.6281,0.6761,3.45,1,1.94,-16
131,xgboost-fraud-pipeline,AI,OpenAI Codex,YAML,model_architecture,3,45,28,4,147,0.5783,0.7815,6.11,1,-0.08,17
132,transaction-anomaly-detection,AI,Devin,R,test_suite,4,367,71,3,154,0.6856,0.837,30.78,4,9.57,296
133,credit-card-fraud-ml,AI,GitHub Copilot,Python,model_architecture,3,170,8,4,162,0.8136,0.7791,13.04,1,0.61,162
134,deepfraud-pytorch,AI,OpenAI Codex,Python,documentation,1,11,35,4,155,0.7228,0.8618,10.13,2,0.03,-24
135,deepfraud-pytorch,Human,Human,Python,refactor,5,3332,162,3,63,0.6023,0.1244,41.26,3,-2.35,3170
136,antifraud-ensemble,AI,OpenAI Codex,Python,data_pipeline,4,22,13,1,149,0.6624,0.7846,27.83,3,1.25,9
137,credit-card-fraud-ml,AI,Claude Code,Shell,feature_engineering,1,93,55,6,132,0.2951,0.9389,5.9,3,-4.83,38
138,fraud-detector-nn,Human,Human,Python,feature_engineering,2,6,4,6,65,0.1878,0.5759,70.17,1,2.15,2
139,antifraud-ensemble,AI,OpenAI Codex,Shell,bug_fix,2,23,7,4,140,0.6805,0.7721,2.69,1,-2.47,16
140,transaction-anomaly-detection,Human,Human,R,feature_engineering,8,8,19,5,74,0.2809,0.4371,28.37,1,5.7,-11
141,transaction-anomaly-detection,Human,Human,YAML,bug_fix,4,254,11,2,75,0.3505,0.1947,15.28,1,-4.62,243
142,deepfraud-pytorch,AI,Devin,Python,test_suite,2,38,6,3,130,0.7554,0.925,29.29,4,-5.51,32
143,antifraud-ensemble,AI,Claude Code,Jupyter Notebook,model_architecture,1,46,10,6,149,0.6461,0.6554,15.24,4,-2.52,36
144,transaction-anomaly-detection,AI,OpenAI Codex,Python,bug_fix,1,330,189,6,119,0.6012,0.7047,8.95,4,3.94,141
145,credit-card-fraud-ml,AI,Devin,YAML,model_architecture,3,157,85,2,126,0.5672,0.9117,9.58,2,-0.84,72
146,antifraud-ensemble,AI,GitHub Copilot,Python,documentation,3,50,3,7,131,0.8085,0.9407,108.77,3,5.49,47
147,credit-card-fraud-ml,Human,Human,Python,hyperparameter_tuning,5,785,621,1,83,0.6241,0.5323,29.49,1,4.48,164
148,credit-card-fraud-ml,AI,Claude Code,Jupyter Notebook,hyperparameter_tuning,1,25,24,2,137,0.6494,0.8075,18.31,3,-4.37,1
149,xgboost-fraud-pipeline,AI,GitHub Copilot,Python,feature_engineering,1,36,21,4,126,0.4605,0.5647,1.98,2,-2.54,15
150,credit-card-fraud-ml,AI,Devin,Jupyter Notebook,documentation,4,102,14,3,131,0.7261,0.6029,5.46,0,8.61,88
151,antifraud-ensemble,Human,Human,Python,bug_fix,4,118,60,3,85,0.5049,0.1878,32.83,1,6.22,58
152,antifraud-ensemble,AI,Devin,Python,bug_fix,2,28,66,2,144,0.4545,0.8187,2.79,3,-2.83,-38
153,deepfraud-pytorch,AI,GitHub Copilot,Python,refactor,1,139,73,1,155,0.6269,0.9272,17.58,6,-1.07,66
154,antifraud-ensemble,AI,Claude Code,Python,hyperparameter_tuning,1,23,37,1,142,0.8664,0.6631,5.95,6,4.58,-14
155,xgboost-fraud-pipeline,Human,Human,Jupyter Notebook,feature_engineering,5,59,94,11,95,0.774,0.5281,42.6,1,-0.94,-35
156,fraud-detector-nn,AI,Devin,Jupyter Notebook,hyperparameter_tuning,2,13,19,1,126,0.4087,0.3616,5.93,5,2.91,-6
157,antifraud-ensemble,Human,Human,Python,data_pipeline,4,308,103,3,81,0.2631,0.4197,19.48,2,-6.18,205
158,xgboost-fraud-pipeline,Human,Human,Python,documentation,5,52,14,3,70,0.66,0.3702,69.8,2,2.84,38
159,deepfraud-pytorch,AI,Devin,Python,hyperparameter_tuning,1,58,12,3,137,0.7588,0.8656,5.08,5,5.92,46
160,antifraud-ensemble,Human,Human,Python,feature_engineering,5,271,718,3,95,0.4617,0.2758,3.16,2,-0.7,-447
161,fraud-detector-nn,AI,OpenAI Codex,Jupyter Notebook,test_suite,2,290,8,2,134,0.745,0.8589,22.32,4,-3.16,282
162,antifraud-ensemble,Human,Human,Python,refactor,8,2866,86,2,81,0.2906,0.5496,118.31,1,-3.05,2780
163,autoencoder-fraud,Human,Human,Shell,feature_engineering,5,225,4,12,76,0.4976,0.4318,19.88,1,-3.77,221
164,deepfraud-pytorch,AI,Claude Code,Python,model_architecture,2,241,61,3,131,0.7984,0.7311,25.94,3,-7.86,180
165,fraud-detector-nn,AI,GitHub Copilot,YAML,hyperparameter_tuning,3,66,37,3,145,0.4449,0.8511,22.73,2,-5.65,29
166,deepfraud-pytorch,Human,Human,Jupyter Notebook,refactor,4,675,71,2,79,0.5225,0.4962,48.9,1,-1.36,604
167,xgboost-fraud-pipeline,AI,OpenAI Codex,Jupyter Notebook,bug_fix,1,70,28,3,132,0.8698,0.662,4.05,1,2.07,42
168,transaction-anomaly-detection,AI,Devin,Shell,documentation,1,33,7,4,164,0.7843,0.7761,2.61,4,1.56,26
169,credit-card-fraud-ml,AI,GitHub Copilot,SQL,bug_fix,3,21,11,3,136,0.6416,0.523,6.31,4,4.67,10
170,deepfraud-pytorch,Human,Human,Python,feature_engineering,7,204,17,9,80,0.4849,0.4105,16.63,3,11.5,187
171,transaction-anomaly-detection,Human,Human,Shell,feature_engineering,3,142,455,9,79,0.2481,0.5066,40.07,1,7.77,-313
172,antifraud-ensemble,AI,GitHub Copilot,Python,hyperparameter_tuning,2,161,20,4,126,0.8836,0.6108,10.59,1,5.7,141
173,fraud-detector-nn,AI,Claude Code,Python,hyperparameter_tuning,5,139,23,4,139,0.7596,0.8956,48.09,4,0.6,116
174,xgboost-fraud-pipeline,AI,Devin,Python,bug_fix,1,71,58,2,140,0.8127,0.8655,8.26,2,7.82,13
175,deepfraud-pytorch,Human,Human,Shell,feature_engineering,4,54,12,6,67,0.5235,0.4002,21.61,2,1.92,42
176,fraud-detector-nn,AI,GitHub Copilot,Jupyter Notebook,hyperparameter_tuning,2,34,42,1,156,0.9194,0.8468,2.35,2,6.8,-8
177,xgboost-fraud-pipeline,Human,Human,SQL,feature_engineering,5,49,22,1,76,0.1301,0.5915,88.8,3,6.0,27
178,autoencoder-fraud,AI,OpenAI Codex,Shell,model_architecture,2,136,10,3,119,0.8135,0.4517,3.6,4,1.71,126
179,transaction-anomaly-detection,Human,Human,Jupyter Notebook,feature_engineering,5,502,90,7,89,0.5275,0.3296,68.97,0,8.23,412
180,autoencoder-fraud,AI,GitHub Copilot,Python,hyperparameter_tuning,2,38,8,4,156,0.879,0.7409,19.91,4,1.86,30
181,xgboost-fraud-pipeline,AI,OpenAI Codex,Python,data_pipeline,1,85,39,6,130,0.5767,0.7604,13.59,1,5.65,46
182,xgboost-fraud-pipeline,AI,GitHub Copilot,Python,feature_engineering,4,476,142,1,128,0.8027,0.831,44.55,3,-2.55,334
183,deepfraud-pytorch,Human,Human,Python,bug_fix,6,26,56,3,65,0.5178,0.6314,49.14,0,0.88,-30
184,antifraud-ensemble,Human,Human,Python,feature_engineering,4,501,260,8,73,0.3727,0.488,23.87,1,2.9,241
185,antifraud-ensemble,AI,Devin,Python,bug_fix,4,207,62,4,128,0.6318,0.7925,26.78,3,-0.81,145
186,xgboost-fraud-pipeline,Human,Human,Python,feature_engineering,5,419,12,7,72,0.0696,0.2855,112.91,1,-5.6,407
187,antifraud-ensemble,Human,Human,SQL,data_pipeline,5,298,95,3,72,0.543,0.3089,61.28,1,2.34,203
188,credit-card-fraud-ml,Human,Human,Python,refactor,4,79,5,8,75,0.3901,0.5021,45.99,0,8.65,74
189,antifraud-ensemble,AI,Claude Code,Python,data_pipeline,3,8,12,5,138,0.6595,0.5964,9.13,3,0.39,-4
190,autoencoder-fraud,AI,Devin,YAML,data_pipeline,2,58,138,2,135,0.8545,0.8801,10.1,5,-1.18,-80
191,credit-card-fraud-ml,AI,GitHub Copilot,Shell,model_architecture,6,47,96,5,134,0.7403,0.7597,12.45,3,-1.94,-49
192,deepfraud-pytorch,Human,Human,YAML,test_suite,3,732,8,9,83,0.4572,0.5252,2.61,2,5.22,724
193,deepfraud-pytorch,Human,Human,Python,feature_engineering,3,53,78,4,69,0.4026,0.2262,5.26,1,-0.16,-25
194,transaction-anomaly-detection,Human,Human,Python,feature_engineering,9,263,34,1,84,0.4364,0.3629,10.3,2,7.8,229
195,transaction-anomaly-detection,AI,OpenAI Codex,Jupyter Notebook,data_pipeline,4,67,40,2,131,0.5158,0.7376,3.01,4,-0.68,27
196,autoencoder-fraud,AI,OpenAI Codex,Python,data_pipeline,3,34,22,3,172,0.4908,0.5409,4.47,5,3.93,12
197,fraud-detector-nn,Human,Human,Jupyter Notebook,model_architecture,4,63,134,5,91,0.2969,0.5762,17.99,0,6.23,-71
198,autoencoder-fraud,Human,Human,Python,feature_engineering,7,128,40,11,75,0.455,0.3309,13.7,2,-1.82,88
199,deepfraud-pytorch,Human,Human,Python,documentation,6,5,212,4,77,0.6074,0.3683,2.94,2,-1.89,-207
200,fraud-detector-nn,Human,Human,Jupyter Notebook,bug_fix,6,54,40,3,68,0.3003,0.5559,33.17,2,-1.43,14
201,autoencoder-fraud,Human,Human,YAML,refactor,2,74,29,7,80,0.3685,0.4921,20.53,1,7.42,45
202,transaction-anomaly-detection,AI,GitHub Copilot,YAML,model_architecture,3,293,176,1,142,0.4661,0.9332,11.63,3,0.8,117
203,fraud-detector-nn,AI,GitHub Copilot,YAML,feature_engineering,3,58,12,3,146,0.7673,0.9052,17.36,1,7.57,46
204,transaction-anomaly-detection,Human,Human,Python,data_pipeline,7,63,220,5,90,0.5176,0.8143,21.03,0,-6.58,-157
205,credit-card-fraud-ml,Human,Human,R,test_suite,9,1106,442,5,69,0.2279,0.341,28.83,2,-5.74,664
206,transaction-anomaly-detection,AI,GitHub Copilot,YAML,feature_engineering,2,295,31,8,130,0.939,0.7976,8.73,2,0.24,264
207,deepfraud-pytorch,AI,GitHub Copilot,Python,test_suite,4,125,41,3,143,0.8755,0.7053,6.85,1,3.67,84
208,autoencoder-fraud,Human,Human,Jupyter Notebook,bug_fix,4,12,231,7,76,0.2947,0.6211,26.48,1,-3.79,-219
209,deepfraud-pytorch,AI,GitHub Copilot,Python,refactor,1,68,67,3,121,0.7996,0.6698,3.18,6,8.74,1
210,credit-card-fraud-ml,AI,GitHub Copilot,Python,refactor,5,5,22,1,145,0.6967,0.6341,15.36,1,7.41,-17
211,credit-card-fraud-ml,AI,Claude Code,Jupyter Notebook,documentation,4,14,45,4,145,0.5066,0.8959,5.26,5,-2.44,-31
